county,pin_normalized,sale_date,sale_price,document_number,deed_type,is_arms_length,confidence_score,address_normalized,building_sqft,year_built,bedrooms,bathrooms,lot_sqft,assessed_value
cook,18313060250000,2021-03-31,1550000.0,2112646032,warranty,true,3,,6247,2001,5,4.5,,136789.0
cook,18313060270000,2015-11-30,1000000.0,1534455015,other,false,3,,5628,2005,5,3.5,,113149.0
cook,18313070050000,2016-06-01,1435500.0,1617355224,warranty,true,2,,5368,2004,4,5.0,,115172.0
cook,18313070290000,2021-11-06,1380000.0,2203447077,warranty,true,3,,4447,2001,4,5.0,,115452.0
cook,18313070290000,2022-12-06,1400000.0,2234908068,warranty,true,3,,4447,,,,,115452.0
cook,18314020060000,2015-05-26,1100000.0,1518810036,trustee,false,3,,5051,1986,4,4.5,,132004.0
cook,18314090080000,2022-09-01,245000.0,2227841043,warranty,true,3,,,,,,,11122.0
cook,23061010280000,2021-05-24,1200000.0,2122412051,warranty,true,3,,,,,,,1122.0
cook,23061010280000,2013-12-01,1615000.0,1400735027,warranty,true,2,,,,,,,5770.0
cook,23061080010000,2022-06-22,1599000.0,2217834151,warranty,true,3,,4688,,,,,76213.0
cook,23061080060000,2021-02-26,1275000.0,2107422024,warranty,true,3,,4263,2001,3,3.5,,71613.0
cook,18181010120000,2020-04-14,450000.0,2012039228,trustee,false,3,,2830,1987,3,2.5,,52024.0
cook,18181030100000,2021-06-24,923228.0,2120457020,warranty,true,3,,1990,1968,4,2.5,,53767.0
cook,18181030120000,2021-01-11,715000.0,2104201371,trustee,false,3,,3152,1969,4,3.5,,61554.0
cook,18181040100000,2019-09-03,1.0,1927055369,warranty,false,2,,2285,1956,4,2.5,,50275.0
cook,18181040100000,2025-04-29,850000.0,2515730035,trustee,false,3,,,,,,,49980.0
cook,18181040120000,2020-07-15,555250.0,2026739168,trustee,false,3,,1661,1964,3,2.0,,34246.0
cook,18181040380000,2013-05-15,596200.0,1316441006,warranty,true,3,,2461,1974,4,2.0,,43532.0
cook,18181040380000,2016-08-01,635000.0,1622946006,warranty,true,3,,2461,1974,4,2.0,,42187.0
cook,18181040410000,2026-01-30,2000000.0,2604102174,warranty,true,2,,,,,,,
cook,18181070200000,2025-11-21,500000.0,2533718157,warranty,true,3,,,,,,,66001.0
cook,18183010080000,2014-08-08,710000.0,1424039007,trustee,false,3,,3010,1985,4,2.5,,50974.0
